id	untrt_N61311	untrt_N052611	untrt_N080611	untrt_N061011	trt_N61311	trt_N052611	trt_N080611	trt_N061011
FN1	245667.656692696	427435.076783868	221687.512734298	371144.225585293	240187.240865362	450103.208915937	280226.18545873	376518.228420769
DCN	212953.139271322	360796.228240728	258977.304900524	408573.064041333	210002.176051172	316009.136823338	225547.389086547	393843.741517662
CEMIP	40996.3399994438	137783.098561546	53813.9227818064	91066.8027335387	62301.1248409426	223111.851744364	212724.837607357	157919.470880358
CCDC80	137229.15270918	232772.172791659	86258.132071261	212237.323123414	136730.761365303	226070.893618867	124634.556387443	236237.808313438
IGFBP5	77812.654803177	288609.203033488	210628.865357085	168067.422122145	96021.7394882009	217439.213375834	162677.384733272	168387.360789806
COL1A1	146450.413011744	127367.25201392	152281.498327756	140861.067252416	62358.6411369943	53800.4702664978	69160.9695135734	51044.057104341
GREM1	124246.414782713	137527.206977703	217280.290691803	112502.63397527	70740.8431693814	85790.5487090611	255895.396887076	63291.6851498017
MT-RNR2	63352.8844134643	116052.899291032	177452.362713352	77960.2682345508	69491.9895908365	124660.170063963	146696.670402103	81818.4318120244
FTL	234852.946532585	197585.09713336	287309.903014121	180266.109021257	157839.859256742	143825.3394449	161717.185405949	120886.517890885
THBS1	37003.7089409061	51260.1709570089	34506.8160753971	36896.2611897521	73328.6312858911	182993.78531324	171753.212688675	170443.866045759
COL1A2	231083.819966544	222832.051447838	235896.470203805	261359.045589391	154771.267200789	192284.416295536	158748.405656781	183571.03362711
COL3A1	107753.028584038	107063.096741461	92552.8083665902	117530.436257088	66851.7831545688	64612.7710105132	46012.4185864905	60375.2554960024
ACTB	55781.4419623163	70102.1163071557	53735.144967013	57956.4766940436	86717.4766968344	121231.813000858	147983.126119645	96333.806445312
MT-CO1	214874.929060859	224656.774233706	341607.297448607	259413.453599984	250572.507177251	262173.621622476	292252.084432335	270444.335732747
FSTL1	42437.0406844558	60334.1747718511	41642.5009992771	56419.534542056	86325.4188546704	78378.726713487	65956.053254028	126447.627675394
EEF1A1	283255.422787944	292332.000285333	267809.256495115	272143.712088666	274728.855800461	240962.528771055	197922.796514863	229556.948186812
ADAMTS1	6203.39743690082	11344.8993225434	10256.0503301639	14379.6517410815	37619.3487099916	48638.5793188079	46617.535471861	61603.7640653586
QSOX1	231406.930660084	194281.936049618	175437.058561037	196536.743930901	231253.999221671	189502.759630145	212752.222406097	184535.522439074
FLNA	58699.5074080467	63453.7369010916	47323.0871824711	51768.6009244064	79680.7023595065	110709.880118494	95476.6163824107	72919.1862759013
MT-CO2	33039.2104941752	59181.361663732	71599.8650571444	40807.6194634732	50260.9639060942	73020.826175162	67260.5120493127	46311.8280281583
MT-ND5	43698.1333781908	64751.8449904291	75834.3854476422	46837.0517056536	50819.8600232597	73783.7518156409	83554.8787659707	52166.2844599958
SVEP1	38947.0250862583	54598.5514440247	29942.8722099066	55928.1314488374	48887.6440714876	78380.7627624201	64920.3100058186	94614.5547660677
TIMP3	56100.8239500955	66933.2500269431	58857.8023677692	68172.1709412457	39576.8426121916	53081.0298889976	26274.4629373896	41765.293499448
A2M	20302.1894198228	26981.1719815844	1992.4258133982	35455.8533774878	17956.533356578	41773.0442139655	7144.89851834856	36774.8922007638
ACTG1	41799.9705716749	56427.2657934386	43819.8911337292	48572.1681136853	52221.3198053444	66313.1719462421	84011.158867546	70431.2168158034
FTH1	141736.959047694	135335.580579128	168750.621951101	128140.795573413	153195.376081708	170377.293350964	150163.184489042	134996.253796119
MT-CYB	43411.3752624534	52737.9530791499	66417.2240880786	43421.9728519504	54964.8794394169	81253.3120554217	69177.3316686556	51435.6308666177
TPM4	35233.7237680032	38961.9622697542	39149.862911663	38380.5278929409	62585.6780663256	58310.5228695729	75134.4317228935	54925.440090312
ITIH5	23580.0027539554	24422.4806312419	1041.24573670566	21217.8032580142	11914.4213286	13184.4708993587	522.536238906692	13179.0720231169
MMP2	136406.965461732	122444.176217726	160874.126680999	135954.908411165	110943.171859875	107068.932519891	140637.504507832	126805.657721703
COL6A3	108451.451158206	81251.645703679	92028.7681351403	95432.0414512717	88227.7100729951	65506.6918739232	67113.8745443478	80604.259323077
MFAP4	37604.8188688547	34219.79176333	35433.3140287073	35433.2463742473	18415.0914161491	18546.6131808888	16494.9855028296	20626.426911021
AKAP12	36639.9704472037	86729.868948655	31703.680591344	55317.4826197334	20693.7486747441	35657.3496091495	18407.5028218668	33386.1190721064
LAMB1	21106.6112757072	24809.029532442	20280.1671404109	23474.5975831323	46321.9407521098	40132.0616946554	32976.668623129	39312.2530671428
MT-CO3	54224.3797153701	57408.7465688892	41969.256817626	47669.7993396114	68145.1995067801	72663.8060438878	40171.9396521963	51713.0077409774
CXCL12	52547.4357641728	21940.750298689	49315.1339273283	49304.1171916051	12018.0884139824	8033.68115661965	13372.1976806638	13999.1020525949
AHNAK	87514.0487585522	88646.5474640433	73922.3816515303	89254.6670022604	96526.4469694342	106018.943257291	102675.3406241	125941.11678399
ITGB1	36545.8367933936	50765.7786487851	45493.9060358691	50415.1116871217	42397.0856089852	67683.5955440576	57192.4510310927	66017.3727158315
GLUL	4811.42983290739	4166.61950330395	4536.63185094553	3727.89182303477	43120.5477738455	31614.8610530953	17871.7723820082	49005.8286314029
COL6A1	65993.4888473881	76101.4665434264	82171.1162981752	84991.0877629054	67387.8444650394	65858.115597894	74890.8369552862	79202.2309232758
PLPP3	28153.0764271322	38064.5578440093	26918.1815362558	43745.3368602562	15126.3256463563	18287.4434236434	13918.9733466321	21258.0246421634
MT-ND4	60747.9501578047	82484.7402102342	82423.2081791875	67868.0578304638	73879.842757121	106429.514282798	72383.3344205915	72230.2955461382
SFRP1	4547.13005350084	12164.5056227675	8993.29452433674	18908.6862223551	4467.11158858101	23367.7662906518	15733.4769341518	25001.0310270145
FBN2	6695.91359911535	3755.87108348858	10415.5244411441	3626.05350877328	18384.14588619	10765.3625994317	57088.3002477961	17987.6830429584
LAMA2	5814.6926778424	8411.27683882042	4727.32790854761	8519.24114794578	29356.3157836223	28761.9902298294	15748.6531540741	42257.82791347
SAMHD1	1652.13673051176	1960.46156598447	1629.53894361613	2109.30222546934	20576.6068553806	30916.3731487298	14879.5315342222	38851.4595760926
SERPING1	15530.5709711298	21789.6473128269	10439.4617222614	20601.5475237152	21865.4939172668	29222.7747406845	13607.4557655563	30047.0145762753
ADH1B	28437.1100602955	27870.6521795828	28869.9235993111	28772.3693163531	72774.1882465379	64897.5768043813	40618.7541220797	66158.4589180311
LRP1	89568.1474781251	90259.3894776226	76707.7325000094	93364.7191161417	77556.0274586145	71340.7037869231	82834.6244348741	91925.560527891
TXNRD1	12019.6564611934	11909.9852273154	11487.4490398595	11758.8628619081	27568.0919032487	40252.4943589849	23940.0110810876	40889.2836215265
GALNT15	6766.40816820625	7857.81760586181	9929.2647232801	3551.07667443059	17547.1384672224	24035.9961309028	24212.8789681959	17174.8016659084
STC2	10630.0036880759	7040.40059165672	5686.83961770391	19405.4753954288	14761.6962470932	22907.0771595169	13732.1457686352	41937.8755887349
SULF1	7655.66545376885	31388.2512118327	6448.73439810057	16402.2918970503	10017.0837305823	30199.9872089882	9651.97503458132	20359.2972766091
LBH	5864.59347103965	13764.5371756137	3210.722070094	5849.49066232496	15321.0749927954	25184.0882676554	16057.3614806866	18171.1825473468
LAMC1	19820.4223770045	31407.3720204715	31397.991181678	23619.3774778719	38012.7634664016	40197.8050277115	41528.6526178934	43679.5398012926
GPX3	885.893846402691	2642.24610221016	1348.01794416922	1886.76140342686	17588.9924484184	36777.7016713416	11688.4321029676	26982.8473951996
ANXA2	19017.2129707497	21815.2172862801	18083.4402162769	18666.9667255636	31901.2276548129	34381.3651012408	27522.8596223772	30625.3765515871
SPARC	37672.1558671359	38290.5181900054	34445.4989848434	37966.6214322219	30021.4729907465	22321.1257572739	23941.8635326077	23961.1718625076
C1R	47499.387506512	46237.2029716021	35561.310215031	45953.4979811686	56279.4176681214	51374.2329916095	39853.301585247	55089.8363781978
FBLN1	163641.998413951	169928.60917381	157960.277916542	149885.965697105	158684.951163189	183043.006604097	152250.432391419	153180.162666263
CTSK	22299.6678596383	38573.3378078783	39728.9837075382	32299.0013999454	19097.4647872497	41873.1055383736	33925.6505969115	33015.0469486438
GAPDH	52888.1542892334	53471.6547533832	49964.4199049765	43124.2438959451	45049.2212648609	41440.9964216907	58848.2131454963	36648.7693918899
IGFBP4	60074.2529837904	57296.5410235434	143245.62654716	60298.0472601385	57672.3984469931	49138.3560378236	123425.418871469	43929.23618563
VIM	95624.9825533425	98552.1186740772	97321.0421264029	113611.726817381	71180.6899224346	87245.9081276206	60117.0794950864	89588.7765564472
TGFBR2	5594.52960332062	6914.41223251532	8409.70505941827	7150.15940302429	15926.5449325702	21684.4126254604	17888.4578739606	22698.8193526553
EFEMP1	15499.8187649839	30504.5968192972	23390.4442608349	17099.3398862164	15801.8315156892	29248.3232107572	26718.1150548242	19640.1993831648
PALLD	12749.1870942291	18863.6154157613	16720.3934762317	15397.2929556089	20137.5101334468	35942.0144543407	33345.6423196231	28682.1086445027
RHOBTB3	7665.7301064053	11773.8509566083	11972.0391233573	7927.52974456705	14551.4485065016	19541.4018500452	30101.4046527736	18590.102759206
STOM	6864.32247231399	7347.40056512369	7505.52821287407	7411.73023787366	19994.2838402843	17366.4548522619	19286.1638305206	22240.7678824637
PTX3	2485.36449041738	4924.19602950253	2036.4784727069	4259.54273857046	13129.2062802033	16746.094947488	10347.8010393696	24728.0276524359
EPAS1	26720.4608902776	25025.7061139297	32760.8519300784	24230.00767545	14191.6893118779	14211.4127997239	23860.702691268	16285.500755075
TPT1	69394.9901727405	70919.5936703222	58546.8551399233	63925.2251997487	75000.3090069207	73835.9637210176	60672.4826963841	64016.3660287558
LTBP1	13998.4863068758	16379.9563739109	15556.2680471098	15086.7982504975	25207.044599118	25990.2345295144	22873.0944658705	27055.6078134883
DEPP1	9214.33273496397	9430.69570446133	6632.98884773662	10598.8127464482	19109.1042066861	37913.0246205886	18148.0831898914	36330.2387080592
CAVIN1	14017.0075351186	16779.9909651182	12170.6494985519	17342.5432445974	20394.3378604914	26033.4977078285	23765.5745655176	25162.6830459091
COL6A2	83811.7371145334	93984.8871988559	83964.9363003125	99264.4252840592	72457.4313639766	82987.7152842159	86229.4930937267	92709.110739085
MT-ND6	15582.8649268652	23559.1652508535	27637.7896621371	18078.0447316638	20236.5594812359	32836.5248382184	28668.3983512408	18494.2864662675
TUBB	22281.7065457976	18539.7482053864	15799.5461963909	12616.2635771581	9606.17600591028	6260.5828197076	9672.20245292069	4949.91882911687
TMSB4X	29874.9313807421	47264.0957567245	31393.1720523776	43686.8140374051	25142.4145991131	39389.8855493502	33329.2549573247	35411.4145584407
PLEC	13874.5618183316	17874.7241408322	8407.43923064053	16018.6718183588	23198.2938355002	27682.4266334204	19081.3575308357	34314.1281003063
NNMT	2558.26037546608	2980.89431750712	3122.4271687688	1920.48669340024	14138.1614267869	11565.89423405	12245.0057844958	11460.8680179216
TNFRSF11B	7049.20107162279	15039.132015477	11986.2658770569	12123.2680481827	1943.66174657465	4307.05971926346	6539.30837692745	2701.83403101853
MYH10	9178.29531050915	15720.709437738	8307.34584265781	14598.1171991464	12257.6777853334	24125.7584113225	15959.9854647257	21578.2205365953
RND3	22025.1403164032	18652.0327606857	22647.0038749527	24683.3949491144	10047.1396385396	14350.1331459076	13166.6060017805	14615.8617052289
ANXA6	10148.4088098801	10235.1252544971	8976.19786398339	8953.64967103955	20802.2047835431	18257.83603275	17444.2141846172	18178.3669702026
SLC38A2	12857.6628420228	11508.3483800024	13912.9381946877	13014.1670655676	19209.1067890919	30446.7195925824	25390.6653384274	34885.8710223943
EEF2	66867.2277906554	63601.1255611523	58979.0197318675	58488.599763026	70722.071362644	54723.7863503209	50602.2301935098	63033.5754894778
DSTN	8304.33396451143	14362.7542864879	11045.3183373525	10567.7626323578	15573.5410223718	26718.6734468584	21772.0253063356	18687.1652841796
CRIM1	6220.34293966754	10400.9647869572	5487.1806900506	7867.07128699605	9623.7280964491	18803.4262603987	16535.3979109798	17839.7625661948
NEAT1	21170.1037380917	36443.7204244387	27565.5104678267	30136.1237183644	14687.2515663828	25617.9535986463	20654.48088351	19384.6623655396
TMEM47	5035.20949605153	10843.1120239136	7220.25534904097	7976.30599824599	12526.4205563535	23776.592227815	14865.3152903555	19047.2867521857
CALD1	15508.2694054221	18730.1069487316	18594.494098939	15023.4111450778	23936.1944959583	26662.705948229	39272.9905752551	24134.7271198035
VCL	11327.759083257	14432.0404506299	8232.80297898914	13529.2391245912	18630.1361975464	24107.8605914455	18549.8429268989	26054.3785230583
CTGF	2893.51538319956	6362.87863121188	8290.09263315532	8707.89547970987	4815.26632265787	12930.7353586732	24423.599523267	26502.5081853708
TLN1	16111.143041999	16457.0897139835	15202.3273240503	14629.4612625946	22889.8087557247	25115.4758344929	24677.1613032628	22968.8926167409
VGLL3	6510.83649662661	10491.5683202292	5246.29200688018	7986.51923722183	15983.9338761934	15721.1456527005	15825.7648240413	22396.5040990248
TIMP2	49174.5791385996	55029.7953633352	56455.5980319723	52804.999163319	47647.4788570066	70806.1324028283	60736.7386507262	58588.4880661696
SYNPO2	3526.58549898058	5438.25981673871	5399.34860448451	2665.97961355647	11410.9564927717	14246.065072771	19176.3567066047	11408.5735608228
SOD2	11152.8625962944	10868.2197110328	19617.7501549278	8224.47367191321	15006.4014002937	18821.6661265377	18823.9741233639	14886.6516606845
ADM	13088.6303864584	15362.6425584095	9481.61606735024	15931.2987636154	19343.9562554715	21207.1912116745	22145.3633101694	21747.3296188521
MYH9	36013.9491330012	36571.4914673843	43983.1222989762	32391.0370231595	38347.8416338598	43546.6302643868	60791.1113562318	38990.6639928924
FAM129B	13754.9484289594	13763.6447109988	14827.9570446716	12461.1171763357	18863.5767060979	22507.7927620509	24646.3344057603	22125.8412814119
HEG1	8128.02133773043	12800.3569290732	7180.73920402123	8647.81300539659	12374.0006385449	16172.7486979669	15463.6389899622	16399.924068892
GAS6	6753.01091770026	13300.7427990966	20048.8543806987	8886.04023797377	8698.41253211912	14450.9128814295	29756.7859417152	11656.9278789598
