id	log2FoldChange	padj	significant	label
E00007	4.28238	0	EHBIO_UP	A
E00008	-1.1036	0.476466843393901	Unchanged	-
E00009	-0.274368	1	Unchanged	-
E00010	4.62347	7.37606076333335e-103	EHBIO_UP	-
E00012	0.973987	0.482982440163204	Unchanged	-
E00017	-1.30205	0.000555693857439792	Baodian_UP	B
E00024	0.617636	2.78047837287061e-13	Unchanged	-
E00033	1.48669	2.56000581595275e-60	EHBIO_UP	-
E00034	-0.783716	0.00341521725291801	Unchanged	-
E00036	2.01592	6.03136656016401e-06	EHBIO_UP	C
E00040	-1.89657	4.73663890849056e-21	Baodian_UP	-
E00041	-0.268168	0.563429434558031	Unchanged	-
E00042	0.0861048	0.367700939634328	Unchanged	-
E00043	-1.19328	1.42673872027352e-153	Baodian_UP	-
E00044	-0.887981	2.43067804654905e-26	Unchanged	-
E00047	-0.610941	5.51696648645932e-57	Unchanged	-
E00048	-0.544351	2.42900721027123e-38	Unchanged	-
E00054	0.373722	1.69385211067434e-06	Unchanged	-
E00060	3.22733	1.08848317711107e-238	EHBIO_UP	-
E00062	1.26537	6.3438645414141e-41	EHBIO_UP	-
E00064	-0.401441	1.35363906397594e-07	Unchanged	-
E00065	-0.905871	0.64100736122527	Unchanged	-
E00066	-0.412675	1.89555581147485e-05	Unchanged	-
E00068	-0.488643	2.81319250002425e-13	Unchanged	-
E00073	0.144652	0.108536041355102	Unchanged	-
E00075	0.475323	1.21849683011948e-07	Unchanged	-
E00127	-0.16277	0.00687878965463131	Unchanged	-
E00129	1.96627	8.03319859544436e-27	EHBIO_UP	-
E00130	1.7085	0	EHBIO_UP	-
E00133	-0.16597	0.0199927844575907	Unchanged	-
E00137	1.42666	1.75895642402667e-22	EHBIO_UP	-
E00138	-0.991176	0.0041887933762352	Unchanged	-
E00142	-1.29229	4.91329890422908e-59	Baodian_UP	-
E00145	0.608214	3.9497193155922e-11	Unchanged	-
E00150	-0.729799	6.22689684070255e-15	Unchanged	-
E00151	-1.11841	0.000198061297942031	Baodian_UP	D
E00155	-0.634429	8.20091063529976e-18	Unchanged	-
E00156	-2.69133	6.67234890335587e-06	Baodian_UP	-
E00157	-0.193524	0.000195434801237767	Unchanged	-
E00158	1.14191	1.14605147623318e-88	EHBIO_UP	-
E00161	0.380407	2.05439120447649e-05	Unchanged	-
E00164	-0.690636	8.27829408813603e-141	Unchanged	-
E00165	-0.899278	0.0466640430932313	Unchanged	-
E00166	0.0825759	0.679194027416613	Unchanged	-
E00168	-0.234778	7.38148000299828e-16	Unchanged	-
